name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
1.085   -> 25.95434438108455 -0.02269785495868904 1999.4028831507046
1.090   -> 26.068636067534506 -0.02290445046851999 1999.3924649977432
1.095   -> 26.182902567288735 -0.023110482376199035 1999.381858542207
1.100   -> 26.297143985237945 -0.023315968319006806 1999.371064341975
1.105   -> 26.41136043099964 -0.023520927467225734 1999.3600830124485
1.110   -> 26.52555201915011 -0.02372538053422654 1999.3489152256263
1.115   -> 26.639718869430094 -0.023929349786375467 1999.3375617091724
1.120   -> 26.75386110692447 -0.02413285905275858 1999.326023245481
1.125   -> 26.867978862216354 -0.024335933734718193 1999.3143006707392
1.130   -> 26.98207227151603 -0.024538600815195415 1999.3023948739844
1.135   -> 27.096141476765187 -0.024740888867871343 1999.2903067961643
1.140   -> 27.210186625716883 -0.02494282806609827 1999.2780374291915
1.145   -> 27.324207871991838 -0.025144450191610823 1999.265587815001
1.150   -> 27.438205375111497 -0.02534578864300567 1999.2529590446063
1.155   -> 27.55217930050845 -0.025546878443976916 1999.240152257156
1.160   -> 27.666129819514783 -0.025747756251292973 1999.227168638992
1.165   -> 27.780057109328936 -0.0259484603624992 1999.2140094227082
1.170   -> 27.89396135296165 -0.02614903072332912 1999.2006758862108
1.175   -> 28.00784273916163 -0.02634950893480555 1999.1871693517805
1.180   -> 28.121701462321536 -0.02654993826001153 1999.1734911851363
1.185   -> 28.23553772236492 -0.026750363630509297 1999.1596427945005
1.190   -> 28.349351724614777 -0.026950831652384228 1999.1456256296663
1.195   -> 28.463143679644283 -0.027151390611888974 1999.1314411810658
1.200   -> 28.576913803110457 -0.027352090480661645 1999.1170909788416
1.205   -> 28.690662315571327 -0.02755298292049031 1999.1025765919178
1.210   -> 28.804389442287277 -0.027754121287594632 1999.0878996270735
1.215   -> 28.918095413007254 -0.027955560636393973 1999.073061728017
1.220   -> 29.031780461740464 -0.028157357722729832 1999.0580645744596
1.225   -> 29.145444826514247 -0.028359571006509064 1999.042909881193
1.230   -> 29.259088749118774 -0.028562260653732942 1999.0275993971627
1.235   -> 29.37271247483928 -0.028765488537875705 1999.012134904544
1.240   -> 29.486316252176426 -0.028969318240574984 1998.9965182178164
1.245   -> 29.59990033255556 -0.02917381505159516 1998.9807511828371
1.250   -> 29.713464970025466 -0.029379045968023505 1998.9648356759133
1.255   -> 29.827010420947346 -0.029585079692657796 1998.9487736028714
1.260   -> 29.940536943674662 -0.029791986631542988 1998.9325668981253
1.265   -> 30.054044798224563 -0.029999838890613483 1998.9162175237416
1.270   -> 30.167534245941567 -0.030208710271396627 1998.8997274685003
1.275   -> 30.28100554915418 -0.03041867626573214 1998.8830987469532
1.280   -> 30.39445897082516 -0.030629814049461485 1998.8663333984778
1.285   -> 30.50789473639829 -0.030842176293020232 1998.8494324911578
1.290   -> 30.621313147852174 -0.031055869998262715 1998.8323991153286
1.295   -> 30.734714422214612 -0.03127094982805278 1998.8152343382649
1.300   -> 30.848098868169103 -0.031487527455262454 1998.797941339574
1.305   -> 30.961466692713437 -0.031705659565739244 1998.7805211845925
1.310   -> 31.074818209889063 -0.031925462382029576 1998.7629771355607
1.315   -> 31.188153615025332 -0.03214699463841569 1998.7453102546995
1.320   -> 31.301473226164397 -0.032370376969956455 1998.7275238801867
1.325   -> 31.414777225313966 -0.032595670178918616 1998.7096190698924
1.330   -> 31.52806593316272 -0.032822999159144495 1998.6915992311776
1.335   -> 31.641339516739063 -0.03305242679370021 1998.6734654162613
1.340   -> 31.754598298040086 -0.03328408206422895 1998.655221094873
1.345   -> 31.86784242746366 -0.03351802993981139 1998.636867312206
1.350   -> 31.981072227005782 -0.033754403301048515 1998.6184075934843
1.355   -> 32.0942879248679 -0.03399330299974294 1998.599844232016
1.360   -> 32.20748974400115 -0.03423483129165384 1998.5811795298778
1.365   -> 32.320677901758444 -0.034479091805467404 1998.5624157968425
